19 | Q4
19 Q4 | D16
19 Q4 D16 | Q17
19 Q4 D16 Q17 | D4
19 Q4 D16 Q17 D4 | F17
19 Q4 D16 Q17 D4 F17 | C14
19 Q4 D16 Q17 D4 F17 C14 | K16
19 Q4 D16 Q17 D4 F17 C14 K16 | R14
19 P5 E16 | E5
19 P5 E16 E5 | P16
19 P5 E16 E5 P16 | R16
19 P5 E16 E5 P16 R16 | Q14
19 P5 E16 E5 P16 R16 Q14 | C16
19 P5 E16 E5 P16 R16 Q14 C16 | D14
19 P5 E16 E5 P16 R16 Q14 C16 D14 | K17
19 P5 E16 E5 P16 R16 Q14 C16 D14 K17 | K15
19 P5 E16 E5 P16 R16 Q14 C16 D14 K17 K15 | C14
19 P5 E16 E5 P16 R16 Q14 C16 D14 K17 K15 C14 | D13
19 P5 E16 E5 P16 R16 Q14 C16 D14 K17 K15 C14 D13 | C13
19 P5 E16 E5 P16 R16 Q14 C16 D14 K17 K15 C14 D13 C13 | D12
19 P5 E16 E5 Q15 | Q17
19 P5 E16 E5 Q15 Q17 | O16
19 P5 E16 D6 | Q15
19 P5 E16 D6 Q15 | Q17
19 P5 E16 P15 | D4
19 P5 E16 P15 E4 | P10
19 P5 R15 | D6
19 P5 R15 E5 | C15
19 P5 Q15 | E5
19 P5 Q15 E15 | D5
19 P5 Q15 D6 | D16
19 P5 K10 | E15
19 P5 K10 E15 | D4
19 P5 K10 E15 D4 | P15
19 P5 C15 | R15
19 N7 | D16
19 N7 D16 | N13
19 N7 D16 N13 | D4
19 N7 D16 N13 D4 | E10
19 N7 D16 N13 D4 E10 | Q4
19 N7 D16 N13 D4 E10 Q4 | Q7
19 N7 D16 N13 D4 E10 Q4 Q7 | O3
19 N7 D16 N13 D4 E10 Q4 Q7 O3 | R15
19 N7 D16 N13 D4 E10 Q4 F16 | D14
19 N7 D16 N13 D4 E10 R16 | R13
19 N7 D16 N13 D4 E10 R16 R13 | P17
19 N7 D16 N13 D4 E10 P4 | Q7
19 N7 D16 N13 D4 E10 P4 Q7 | R5
19 N7 D16 F14 | F16
19 N7 D16 F14 F16 | H15
19 N7 D16 G13 | D4
19 N7 D16 G13 Q4 | G7
19 N7 D16 G13 Q4 G7 | D4
19 N7 D16 G13 Q4 G7 D4 | N13
19 N7 D16 G13 Q4 G7 D4 N13 | Q16
19 N7 D4 | N13
19 N7 Q4 | G13
19 N7 Q15 | G7
19 N7 D3 | N13
19 P4 D16 C4 | R16
19 P4 D16 C4 R16 | P16
19 P4 D16 C4 R16 P16 | M16
19 P4 D16 C4 Q16 | C14
19 P4 D16 C4 Q16 C14 | F17
19 P4 D16 C4 Q16 C14 F17 | B16
19 P4 D16 C4 Q16 C14 F17 B16 | E4
19 P4 D16 Q17 | D4
19 P4 D16 Q17 D4 | F3
19 P4 D16 Q17 D4 F3 | C6
19 P4 D16 Q17 D4 F3 C6 | D2
19 P4 D16 Q17 D3 | R4
19 P4 D16 P17 | D4
19 P4 D16 P17 D4 | F17
19 P4 D16 P17 D4 F17 | D14
19 P4 D16 P17 D4 F17 D14 | J16
19 P4 D16 P17 D4 F17 D14 J16 | Q15
19 P4 Q16 | D5
19 P4 Q16 E16 | D4
19 P4 Q16 E16 D4 | R4
19 P4 Q16 E16 D4 R4 | C16
19 P4 Q16 E16 D4 R4 C16 | D14
19 P4 Q16 E16 D4 R4 C16 D14 | E17
19 P4 Q16 E16 D4 R4 C16 D14 E17 | F17
19 P4 Q16 E16 D4 R4 C16 D14 E17 F17 | D17
19 P4 Q16 E16 D4 R4 C16 D14 E17 F17 D17 | F16
19 P4 Q16 E16 D4 R4 C16 D14 E17 F17 D17 F16 | B14
19 P4 Q16 E16 D4 R4 C16 D14 E17 F17 D17 F16 B14 | O17
19 P4 Q16 E16 D4 R4 C16 D14 E17 F17 D17 F16 B14 O17 | R14
19 P4 Q16 E16 D4 R4 C16 D14 E17 F17 D17 F16 B14 O17 R14 | O15
19 P4 Q16 E16 D4 R4 C16 D14 E17 F17 D17 F16 N17 | B14
19 P4 Q16 E16 D4 O17 | R14
19 P4 Q16 E16 D4 O17 R14 | Q18
19 P4 Q16 E16 D4 O17 R14 Q18 | R17
19 P4 Q16 E16 D4 O17 R14 Q18 R17 | L17
19 P4 Q16 E16 D4 O17 R14 Q18 R17 L17 | C17
19 P4 Q16 E16 D4 O17 R14 Q18 R17 L17 C17 | C15
19 P4 Q16 E16 D4 O17 R14 Q18 R17 L17 C17 C15 | E17
19 P4 Q16 E16 D4 O17 R14 Q18 R17 L17 C17 C15 E17 | F17
19 P4 Q16 E16 D4 O17 R14 K17 | R4
19 P4 Q16 E3 | D16
19 P4 Q16 E3 C16 | E16
19 P4 Q16 C4 | D16
19 P4 Q16 D16 | D4
19 P4 Q16 D16 D4 | F3
19 P4 Q16 D16 D4 F3 | C6
19 P4 Q16 D16 D4 F3 C6 | K3
19 P4 Q16 D16 D4 F3 C6 K3 | R3
19 P4 Q16 D16 D4 F3 C6 K3 R3 | R5
19 P4 Q16 D16 D4 F3 C6 J4 | R3
19 P4 Q16 D16 D4 F3 C6 J4 R3 | R5
19 P4 Q16 D16 D4 R14 | O17
